,mourir,"to die, pass away"
,demander,"to ask, ask for, be looking for"
,juste,"just, fair; just, right, accurate; french.languagedaily.com"
,peut-être,"perhaps, maybe"
,dieu,god
,fois,time
,oh,oh!
,père,father
,comprendre,to understand
,sortir,to go out; take out
,personne,"anyone, anybody; person, individual"
,an,year
,trop,"too much, too (excessively)"
,chez,"at, to, in"
,fille,"daughter, girl, gal"
,aux,(à + les) = of the
,monde,"world, people"
,ami,friend; friendly
,vrai,"true, real, genuine"
,après,"after, afterwards, later"
,mal,"trouble, difficulty; badly, wrongly"
,besoin,"need, demand, necessity"
,accord,"agreement, accord, harmony"
,ses,"his, her, its (plural)"
,avant,before
,monsieur,"gentleman, Mr"
,enfant,"child, infant"
,grand,"big, large, tall, great; big boy, big girl"
,entendre,"to hear, listen to, understand"
,voilà,"there is, there are"
,chercher,"to look for, seek"
,heure,hour; time; age
,mieux,"better, utmost, best; improvement"
,tes,your (plural)
,aider,"to help, aid"
,mère,mother
,déjà,"already, before"
,beau,"beautiful, lovely, pretty; fine, nice (weather)"
,essayer,"to try, try out, test"
,quel,"what, which (interrogative)"
,vos,"your (plural, from ''votre'')"
,depuis,"since, from, for; french.languagedaily.com"
,quelqu'un,"someone, somebody"
,beaucoup,"much, many, a lot"
,revenir,"to come back, return"
,donc,"so, therefore"
,plaire,to be successful
,maison,"house, home"
,gens,people (plural)
,nuit,night
,ah,ah!
,soir,"evening, night"
,nom,name; noun
,bonjour,hello (see #207)
,jouer,to play
,leur,"their, to them (mas or fem), theirs (masc, fem, plural)"
,finir,"to finish, end"
,peur,"fear, fright"
,mort,death; dead
,parce que,"because, for"
,perdre,"to lose, miss"
,maman,"mummy, mama, mom"
,sentir,"to smell, sniff, feel"
,ouais,"yeah, yep"
,rentrer,"to bring in, take in; to get in, go in, come home"
,nos,our (plural) (see #114); languagedaily dot com
,premier,"first, basic; first floor"
,problème,problem
,argent,"silver, money"
,quelle,"who, what, which"
,vivre,"to live, be alive, go through"
,rendre,"to return, give back, repay"
,dernier,"last, latest"
,tenir,"to hold, run, keep, last"
,cet,"this, that (before vowel and mute h) (see #25, 73, 99)"
,main,hand
,cela,"this, that (used in formal contexts and expressions) (see #20)"
,vite,"quickly, fast, soon"
,oublier,"to forget, miss"
,air,"air; look, appearance, manner"
,salut,"greeting; Hi!, Hello!, Bye! (see #180)"
,fils,son
,travailler,"to work, work on, practise"
,moins,less
,tête,"head, face"
,coup,"blow, shot, kick, punch"
,écouter,to listen to
,raison,reason
,manger,to eat
,amour,"love, love affair, cupid"
,entrer,"to go in, enter, come in"
,dont,"whose, of which"
,nouveau,"new, fresh"
,devenir,to become
,hein,"what?, eh?, Huh? (familiar)"
,commencer,"to start, begin"
,merde,"shit (vulgar), bull, crap, damn"
,moment,"moment, while, point"
,voiture,"car, coach, carriage"
,vieux,"old; old man, old woman"
,demain,tomorrow
,revoir,"to see again, review; goodbye; french.languagedaily.com"
,elles,they (refers to a group of feminine nouns or females)
,payer,to pay
,fou,"mad, crazy; madman, fool"
,tirer,"to pull, draw"
,ouvrir,to open
,oeil,"eye, view (= œil) (plural is yeux)"
,fait,"event, fact"
,changer,"to change, exchange"
,question,"question, matter"
,tomber,to fall
,assez,"enough, quite, fairly"
,foutre,"(slang) to do, give, put on; (vulgar) to have sex, to masturbate"
,excuser,"to forgive, pardon, excuse"
,affaire,"affiar, business"
,dormir,to sleep; to lie idle
,combien,"how much, how many"
,frère,brother
,travail,"wor, labor, employment"
,idée,"idea, opinion"
,eh,hey!
,puis,"next, then, besides, plus (in addition)"
,famille,family; languagedaily dot com
,truc,"trick, knack, thing"
,trois,three
,tant,"much, so much"
,souvenir,"memory, souvenir; to remember"
,ni,"nor, or (negative)"
,tous,"everything, all (plural)"
,occuper,"to occupy, live in, take up"
,entre,"between, among"
,ok,OK; okay (satisfactory)
,marcher,"to walk, march, go"
,chance,"luck, fortune, chance"
,aujourd'hui,"today, nowadays"
,envoyer,"to send, throw, dispatch, refer"
,histoire,"history, story"
,jeune,"young, youthful; young person"
,tard,late
,apprendre,"to learn, to hear (about)"
,minute,minute
,boire,"to drink (consume alcohol), to soak up"
,garder,"to keep, to look after, to guard"
,quelques,"some (quantity), small number, a few"
,type,"type, kind; guy (colloquial)"
,porte,"gate, door"
,montrer,"to show, point out"
,mec,"guy, bloke"
,asseoir,"to sit down, sit up"
,porter,"to carry, wear"
,attention,attention
,année,year
,sous,under
,prêt,ready
,contre,against
,prier,to pray
,pendant,"for, during"
,mois,month
,meilleur,better; the best one
,servir,to serve
,madame,"madam, Mrs"
,putain,"whore, hooker"
,écrire,to write
,part,"part, share"
,eau,water
,sang,blood
,place,"room, square, seat"
,espérer,to hope for
,plein,"full, solid"
,désoler,"to distress, upset"
,eux,"them, they"
,retrouver,to find; to meet
,ville,"town, city"
,terre,"earth, ground"
,gagner,"to win, earn"
,semaine,week
,acheter,to buy
,longtemps,"long, for a long time"
,gars,"boy, chap, guy (see #342)"
,chambre,"bedroom, chamber"
,hé,Hey! (to attract attention)
,côté,"coast, slope, side"
,droit,"law, right; straight"
,rappeler,"to remind, remember, call back, be reminiscent of"
,lire,to read
,cas,"case, instance"
,mot,word
,seulement,"only, solely"
,voici,"here is, here are"
,monter,"to go up, rise, come up"
,désolé,"contrite, desolate, afraid, sorry"
,quitter,"to leave, depart"
,police,police
,suite,"rest, result, continuation french.languagedaily.com"
,matin,morning
,emmener,"to take (somebody), take along"
,toucher,to touch
,continuer,"to continue, go on"
,devant,"in front, ahead; in front of, ahead of, past, before"
,fort,"strong, solid; loud, much, most"
,gros,"big, large, thick, heavy"
,enfin,"finally, at last"
,pardon,"I'm sorry!, Excuse me!, Pardon?; forgiveness"
,mari,husband
,là-bas,"there, over there"
,importer,to import; to matter
,papa,"daddy, dad"
,train,"train, pace"
,manquer,"to miss, to miss somebody"
,raconter,to tell
,ensemble,"together, at once"
,mauvais,"bad, poor, wrong"
,film,"film, movie"
,répondre,"to answer, reply"
,garçon,"boy, chap, guy (see #306)"
,chéri,"darling, loved; boyfriend, girlfriend, beloved"
,corps,body
,celui,"the one, that one (singular masculine) (see #408, 543)"
,autres,other
,heureux,"happy, felicitous"
,loin,"far, a long way off, a long time ago"
,aucun,"no, not any; none (see #399)"
,pauvre,"poor; poor person, beggar"
,sauver,to save; languagedaily dot com
,chaque,"each, every"
,retourner,"to turn, turn over, return (see #404)"
,leurs,theirs (3rd person masculine or feminine plural)
,rencontrer,"to meet, encounter"
,coeur,"core, heart"
,voler,"to flly; to steal, swipe"
,fermer,"to close, shut"
,car,"because, for (see #186)"
,valoir,"to hold, apply; to be worth"
,descendre,"to take down, go down, come down"
,feu,fire
,docteur,"doctor, physician (see #548)"
,suffire,"to be enough, suffice"
,façon,"way, manner, behaviour"
,important,"important, considerable, sizeable"
,sembler,"to seem, appear, look"
,super,"great, fantastic; high-octane gasoline"
,compter,to count
,vers,"towards, near, around, about (time, age)"
,joli,"nice, tidy, pretty (attractive), lovely (beautiful)"
,point,"dot, full stop, period"
,noir,black; black man/woman
,hier,yesterday
,chien,dog
,guerre,war
,genre,"kind, type, sort"
,marier,"to marry, get married"
,arme,weapon
,cause,"cause, reason"
,endroit,place
,ordre,"order, command"
,poser,"to put down, lay, pose, sit"
,reste,"the remainder, rest"
,pied,"foot; stem, leg, base"
,envie,"desire, urge, craving"
,près,near
,fin,"end, ending"
,tiens,"Why!, Hello! (surprise)"
,inquiéter,"to worry, bother, trouble"
,d'autres,others; more
,bouger,to move
,plutôt,"rather, quite"
,apporter,"to bring, supply"
,photo,"photo, photography"
,décider,to decide
,ainsi,"like this, in this way"
,certain,"certain, sure"
,aucune,"no, not any, in no way (see #349)"
,vendre,to sell
,école,school
,cher,"dear, beloved, darling, expensive"
,chef,"leader, chief, head"
,tourner,"to turn, stir, toss, shoot (see #353)"
,cacher,"to hide, conceal"
,boulot,"work, job"
,pays,"country, nation, land (country)"
,ceux,"this one, that one (masculine plural) (see #345, 543)"
,possible,possbile
,expliquer,"to explain, account for"
,battre,to beat
,peine,"sorrow, grief, saddness, suffering"
,livre,book; pound
,agir,"to act, behave; work, take effect"
,imaginer,"to imagine, suppose"
,tour,"tower, castle, tour, ballot;languagedaily dot com"
,adorer,"to adore, love"
,vérité,truth
,recevoir,"to receive, to get"
,gentil,"kind, good, nice"
,jeter,to throw
,pleurer,verb
,bébé,baby
,partie,part; game
,nouvelle,"new, fresh; french.languagedaily.com"
,jeu,"play, game; hand, deck (cards)"
,amener,"to bring, take, bring about"
,instant,"instant, moment"
,parent,"relative, relation; parent"
,dur,"hard, tough, harsh"
,service,"service, favor"
,plaisir,pleasure
,promettre,to promise
,mentir,to lie
,soeur (sœur),sister
,bientôt,"soon, quickly, shortly"
,lit,bed
,tellement,"so (to such an extent), so (very), so much"
,utiliser,to use
,lieu,"place, site"
,coucher,"to put to bed, lay down, to sleep"
,presque,"almost, nearly"
,dehors,"outside, outdoors"
,passé,"past, last; the past, past tense"
,préférer,to prefer
,content,"happy, pleased, glad"
,derrière,behind
,con,"stupid jerk, bloody idiot; damned, bloody, stupid"
,offrir,"to offer, give"
,roi,king
,verre,"glass, drink"
,réveiller,"to awake, wake (smb.) up"
,aide,"assistant; help, assistance"
,d'abord,"foremost (most important), first"
,journée,day
,préparer,"to prepare, make, get ready"
,numéro,number
,permettre,"to allow, permit"
,ramener,"to bring back , take back"
,enlever,"to take (smth.) away, remove, take off"
,calme,"peace, calmness; quiet, calm (see #529)"
,lâcher,"to let go of, to release"
,choisir,to choose
,musique,music
,conduire,"to drive, lead"
,faute,"mistake, error; fault; lack of"
,calmer,"to calm down, appease, sooth"
,dîner,dinner; to have dinner
,mariage,"marriage, wedding"
,bureau,"writing desk, study (room), office"
,route,"road, journey, way"
,chanter,to sing
,secret,secret; secretive
,disparaître,"to disappear, vanish"
,lever,"to raise, lift"
,dessus,on top; top
,présenter,"to introduce, present"
,accepter,to accept
,baiser,"kiss; to shag, screw, fuck"
,sinon,"otherwise, or else, except"
,idiot,idiot; stupid
,long,"long, lengthy"
,café,"coffee, café (bar)"
,propre,"clean, tidy"
,confiance,"trust, confidence, belief"
,cinq,five
,bonsoir,"good evening, good night"
,compte,"count, number"
,téléphone,"telephone, phone"
,casser,"to break, shatter"
,prochain,next
,frapper,"to hit, strike, blow"
,facile,easy
,rêve,dream
,copain,"friend, boyfriend"
,malade,"ill, sick"
,rue,street
,bas,low; bottom
,lettre,letter
,ignorer,"not to know, to ignore"
,fête,"party, celebration"
,couper,"to cut, cut off"
,esprit,"mind, brain, wit, spirit, esprit"
,taire,"to be silent, stop talking"
,seigneur,lord (e Seigneur = the Lord)
,flic,"cop, policeman"
,parfois,sometimes
,capitaine,captain
,âge,age
,autant,"so much, so many"
,force,"force, strength"
,pièce,room; play; coin; piece
,quatre,four
,cul,"bum, ass"
,difficile,"difficult, strenuous, hard"
,bras,arm
,tromper,to deceive; to make a mistake
,surtout,above all
,ressembler,"to look like, to resemble"
,jurer,to swear
,plan,"map, plan, layout"
,prison,"prison, jail"
,sale,dirty
,courir,"to run, rush"
,haut,"high, elevated; top"
,état,state
,remettre,to put back; hand over; postpone; put back on
,carte,"map, card; french.languagedaily.com"
,paix,"peace, calmness; quiet, calm (see #461)"
,exactement,"exactly, accurately, precisely"
,drôle,"funny, peculiar"
,refuser,"to refuse, turn down"
,dès,from
,président,"president, chairman"
,cours,"class, course"
,grave,"serious, grave, solemn"
,terminer,"to end, finish"
,ciel,sky
,partout,everywhere
,âme,soul
,patron,"boss, manager, owner"
,amuser,"to amuse, entertain"
,celle,"the one, that one (feminine singular) (see #345, 408)"
,visage,face
,intéresser,to interest
,reconnaître,"to recognize, acknowledge"
,rire,"to laugh, have fun, joke"
,médecin,"doctor, physician, medical practitioner, MD (see #363)"
,rapport,"report, connection, link, relationship"
,pardonner,"to forgive, pardon, excuse"
,avis,opinion; notice
,embrasser,"to kiss; to embrace, encompass"
,retour,return; french.languagedaily.com
,laquelle,which one = (le + quelle) (feminine singular) (see #578)
,simple,simple
,danser,to dance
,exister,to exist
,différent,"different, various, other"
,souvent,often
,lumière,light
,génial,"great, brilliant"
,libre,"free, vacant"
,dollar,dollar
,sûrement,"surely, certainly, most probably"
,pareil,the same
,hôpital,hospital
,ceci,"this (formal contexts; refers to nouns that have no specific gender) (see #20, 203)"
,réussir,"to be successful, succeed"
,bizarre,"odd, starnge, bizarre"
,voix,voice
,protéger,to protect
,honneur,"honor (US), honour"
,tôt,early
,équipe,"team, crew, party"
,prévenir,"to tell, inform, prevent"
,cheval,horse
,ailleurs,"elsewhere, somewhere else"
,lequel,which one = (le + quel) (masculine singular) (see #554)
,maître,"master, ruler, mistress, school teacher"
,avion,plane
,bout,"bit, tip, end"
,habiter,to live in
,faim,hunger
,ensuite,"then, next, afterwards"
,l'un,"a, an, one (replaces 'un' when 'un' is a pronoun or at the beginning of a sentence) (see #14)"
,froid,cold
,normal,"normal, usual"
,déranger,"to disturb, upset"
,reprendre,"to recapture, take back"
,oncle,uncle
,prix,price; prize
,retard,"delay, lateness"
,détruire,"to destroy, ruin"
,cadeau,"present, gift"
,pousser,"to push, press"
,face,face; heads
,gueule,mouth
,chemin,"path, way"
,vivant,"vibrant, living, alive"
,général,general (military)
,parole,"speech, word"
,triste,sad
,honte,shame
,rouge,red
,dégager,to free; to clear; to radiate
,soirée,"evening, party"
,dangereux,dangerous
,armée,army
,filer,"to spin; to take off; to go off, to leave"
,risquer,to risk
,dos,"back, spine"
,appel,"call, appeal"
,visite,visit
,mener,"to take; to lead, guide, manage"
,fleur,"flower, blossom"
,attaquer,to attack
,coin,"corner, spot"
,prince,prince
,pire,worse
,bordel,brothel; bloody/gooddamn mess
,professeur,"teacher, professor"
,fumer,to smoke
,répéter,"to repeat; to go over, rehearse"
,habitude,"habit, practice; french.languagedaily.com"
,signer,to sign
,ficher,"to file, put on file"
,mériter,"to deserve, be worth; french.languagedaily.com"
,réponse,"response, answer, reply"
,rejoindre,"to meet up; to join, rejoin; to go back to"
,discuter,"to question, dispute"
,village,village
,pourtant,yet
,avancer,"to move forward, advance"
,connerie,stupidity
,reposer,"to rest, to have a rest"
,échapper,"to escape, get away, slip, run away"
,forme,"form, shape"
,bruit,"noise, sound; rumour"
,chacun,"each, everyone"
,diable,devil
,exemple,example
,charger,"to charge, load"
,chat,cat
,ennemi,enemy
,gamin,"kid, child (see #674)"
,rendez-vous,appointment
,debout,"standing, standing up"
,obliger,to oblige
,trou,"hole, gap, deficit"
,accompagner,"to go with, accompany"
,fenêtre,window; languagedaily dot com
,oser,to dare
,impression,impression
,intérieur,"inside (inner surface), interrior"
,bouche,mouth
,ligne,"line, course, service"
,absolument,absolutely
,doux,"soft, mild, gentle"
,regretter,to regret
,mur,Wall
,enfer,hell
,prouver,to prove
,boîte,box
,santé,health
,couvrir,cover
,magnifique,Magnificent
,obtenir,get
,cuisine,food
,vue,seen
,terrible,terrible
,éviter,to avoid
,peau,skin
,salaud,bastard
,conseil,advice
,plaisanter,to joke
,autour,around
,vin,wine
,exact,exact
,virer,fire
,supporter,support
,régler,adjust
,doigt,finger
,étrange,strange
,grâce,Grace
,souhaiter,to wish
,mission,mission
,créer,to create
,chanson,song
,pote,mate
,surveiller,to watch
,simplement,simply
,recommencer,restart
,robe,dress
,chaud,hot
,billet,ticket
,spécial,special
,moyen,way
,sympa,nice
,vaisseau,vessel
,échoué,failed
,pisser,piss
,Barry,Barry
,sortes,sorts
,circonstances,circumstances
,kong,kong
,mignonne,migning
,excellence,Excellency
,auto,car
,do,do
,vague,wave
,arrêtes,stop
,nôtre,our
,vallée,valley
,Morgan,Morgan
,enterré,buried
,tandis,while
,duc,duke
,pêre,father
,assassiné,assassinated
,ooo,ooo
,charme,charm
,quart,quarter
,arrangé,arranged
,guitare,guitar
,remplir,to fill
,Sophie,Sophie
,crève,rave
,Jesse,Jesse
,Bruce,Bruce
,Sara,SARA
,refuser,refuse
,donnent,give
,Luke,Luke
,taper,type
,critique,critical
,secrète,secrete
,terminer,to end
,hauteur,height
,comédie,comedy
,cimetière,graveyard
,baisé,fucked
,cardiaque,cardiac
,Catherine,Catherine
,chiffres,figures
,fêter,to celebrate
,trouverez,find
,indien,Indian
,altesse,highness
,occupée,busy
,intelligente,smart
,culture,culture
,deviner,to guess
,géniale,genial
,limites,limits
,Nancy,Nancy
,précis,precise
,éternité,eternity
,ball,ball
,plateau,tray
,prises,taken
,viendrai,will come
,rempli,completed
,clairement,clearly
,intérêts,interests
,langage,language
,aides,aid
,feux,fire
,Betty,Betty
,copie,copy
,profondément,deeply
,fâché,angry
,incapable,unable
,mercredi,Wednesday
,souffrance,pain
,avouer,confess
,mile,mile
,posez,put
,lion,Lion
,ali,ali
,soigner,to tend to
,fenêtres,Windows
,pue,pink
,électrique,electric
,italien,Italian
,traversé,crossed
,réception,reception
,énerve,irritated
,rentrons,let's go
,couvrir,cover
,fonce,dark
,Harvey,Harvey
,Kyle,Kyle
,produits,products
,loyer,rent
,grace,Grace
,bleus,blushes
,assistant,assistant
,cervelle,brain
,trente,thirty
,yeah,yeah
,saches,sketchy
,national,national
,avenue,avenue
,evidemment,obviously
,reçois,Receive
,cité,cited
,liaison,connection
,prouve,prove
,collier,necklace
,aprês,after
,séance,session
,placard,cupboard
,criminels,criminal
,irais,iris
,riz,rice
,sandwich,sandwich
,boston,Boston
,parlerai,will speak
,places,places
,stade,Stadium
,gagnant,winner
,moral,moral
,tendre,tender
,fleuve,River
,mêre,mother
,stanley,stanley
,trouvait,found
,auparavant,previously
,personnellement,personally
,fièvre,fever
,champs,field
,tuera,kill
,chatte,cat
,actes,acts
,restait,remained
,amant,lover
,concernant,regarding
,las,the ace
,ferons,do
,cherchent,they search
,tenait,held
,exécution,execution
,ann,ann
,lou,lou
,pédé,fag
,prière,pray
,hélas,Alas
,sortent,come out
,bateaux,boats
,allaient,were going
,durer,last
,assise,seated
,alarme,alarm
,commencez,start
,furent,were
,prenait,taking
,brad,blad
,entièrement,entirely
,médecine,medicine
,juillet,July
,sortis,out
,sensible,sensitive
,poudre,powder
,finale,final
,plais,pleasant
,durs,hard
,discussion,discussion
,séparer,to separate
,esclaves,slave
,instructions,instructions
,beurre,butter
,documents,documents
,taré,tare
,rick,rick
,détail,detail
,baron,baron
,mettent,put
,congrès,Congress
,épaule,shoulder
,poison,poison
,final,final
,métro,Metro
,attendrai,wait
,serment,oath
,chan,chan
,pardonne,forgiven
,espagnol,Spanish
,supérieur,superior
,w,W
,degrés,degrees
,rires,laughter
,west,West
,parker,parker
,tuez,kill
,œufs,eggs
,fiancé,fiancé
,nerfs,nerves
,portefeuille,wallet
,robot,robot
,internet,Internet
,expert,expert
,hank,hank
,surveillance,surveillance
,foutue,fucking
,rita,rita
,réalisateur,director
,entraîner,drive
,martha,martha
,descendu,descended
,patrick,patrick
,comté,county
,congé,leave
,finira,finish
,caméras,camera
,sauce,sauce
,balance,balance
,destruction,destruction
,moderne,modern
,Carlos,Carlos
,extrêmement,extremely
,âmes,souls
,expression,expression
,marchera,walk
,commerce,trade
,ivre,drunk
,salopard,dirty
,appétit,appetite
,dette,debt
,all,all
,promener,to walk
,employés,employees
,admettre,admit
,producteur,producer
,attendons,wait
,quittez,exit
,brise,broken
,wow,wow
,juin,June
,chats,cats
,remets,resetting
,ajouter,add
,couler,to flow
,Pasteur,Pastor
,alliez,go
,portrait,portrait
,heu,uh
,by,by
,lancé,spear
,diamants,diamonds
,donnée,given
,avantage,advantage
,fidèle,loyal
,juger,judge
,renseignements,information
,gang,gang
,loué,rented
,réseau,network
,ouverture,opening
,travaux,works
,poussé,pushed
,division,division
,invitation,invitation
,repartir,divide
,trous,holes
,rappelez,remember
,totale,total
,solide,solid
,réservé,Reserve
,Willie,Willie
,autorité,authority
,fermée,closed
,munitions,ammunition
,neveu,nephew
,diras,diras
,téléphoner,call
,briser,to break
,siècles,centuries
,nerveuse,nervous
,bonbons,candy
,blé,corn
,pourri,rotten
,puits,well
,fantômes,ghosts
,termine,ended
,monstres,monsters
,écraser,to crush
,espérons,hope
,bétail,livestock
,miens,mine
,changera,change
,adultes,adults
,restée,remained
,total,total
,fierté,pride
,pari,bet
,sein,breast
,cessez,stop
,Elizabeth,Elizabeth
,exige,required
,étudiant,student
,Jackie,Jackie
,démarre,started
,lâchez,cowardly
,Marty,Marty
,passons,Let's go
,vic,vic
,semblez,seem to be
,gérer,to manage
,électricité,electricity
,invitée,invited
,injuste,unfair
,désirez,desire
,lampe,lamp
,normalement,normally
,causer,cause
,dalle,slab
,mondiale,world
,comptez,count
,rouler,to roll
,filmer,filming
,rapporte,report
,sourd,deaf
,trouveras,find
,alliance,alliance
,convient,agrees
,rage,rage
,habitants,residents
,Mamie,Granny
,nuages,clouds
,hmm,hmm
,trahi,betrayed
,biens,goods
,Lewis,Lewis
,tournage,turning
,créatures,creatures
,militaires,military
,blessures,wound
,barbara,Barbara
,Louise,Louise
,règlement,regulation
,grant,gravity
,étudié,studied
,courez,run
,habiller,dress
,soeurs,sisters
,soins,care
,célibataire,single
,veuve,widow
,Canada,Canada
,dépêche,dispatch
,progrès,progress
,dégoûtant,disgusting
,fan,fan
,matière,matter
,avril,April
,molly,molly
,cercle,circle
,Davis,Davis
,nucléaire,nuclear
,pervers,perverse
,échelle,ladder
,adorer,love
,trouvais,found
,orchestre,orchestra
,déposer,to file
,cadavres,corpses
,échappe,escape
,emprunter,to borrow
,exprimer,Express
,caractère,character
,libéré,released
,signes,signs
,fêtes,holidays
,vedette,star
,lisez,read
,commençons,let's start
,robin,robin
,généreux,generous
,méchants,bad guys
,formation,training
,bâton,stick
,timide,timid
,gentils,kind
,premières,first
,passagers,passengers
,immense,immense
,serviette,napkin
,mangez,eaten
,diriger,to manage
,passant,passing
